,title,genres,rating,rating_voters,season,studio,origin,pg,type,episode_count
0,Другая сторона сэйю на радио,Драма;Комедия;Школа,7.7,178.0,Весна 2024,Connect,ТВ Сериал,16+,ТВ Сериал,12
1,Истории подделок,Детектив;Комедия;Сверхъестественное;Этти,8.7,1593.0,Зима 2012,SHAFT,ТВ Сериал,18+,ТВ Сериал,11
2,Дневник будущего: Повторный набор,Психологическое;Сверхъестественное;Сёнэн;Экшен,8.1,3135.0,,asread,OVA,18+,OVA,1
3,Рассвет Йоны,Комедия;Приключения;Романтика;Сёдзё;Фэнтези;Экшен,8.9,2891.0,Осень 2014,Studio Pierrot,ТВ Сериал,16+,ТВ Сериал,24
4,"Дальше, чем космос",Драма;Комедия;Повседневность;Приключения,8.7,459.0,Зима 2018,Madhouse Studios,ТВ Сериал,16+,ТВ Сериал,13
5,Взрывной храбрец Брэйверн,Военное;Комедия;Меха;Фантастика;Экшен,6.0,396.0,Зима 2024,,ТВ Сериал,16+,ТВ Сериал,12
6,Темнее черного,Детектив;Супер сила;Фантастика;Экшен,8.9,4025.0,Весна 2007,Bones,ТВ Сериал,18+,ТВ Сериал,25
7,Маги: Лабиринт магии,Магия;Приключения;Сёнэн;Фэнтези;Экшен,8.7,2862.0,Осень 2012,A-1 Pictures Inc.,ТВ Сериал,16+,ТВ Сериал,25
8,Президент студсовета — горничная! Спешл,Комедия;Сёдзё;Школа,8.3,1256.0,,J.C. Staff,Спешл,16+,Спешл,1
9,Нет игры - нет жизни: Спешлы,Игры;Фэнтези;Этти,7.9,2792.0,,Madhouse Studios,Спешл,16+,Спешл,6
10,Миг за мигом,Детектив;Драма;Психологическое;Сверхъестественное;Сэйнэн,8.1,945.0,Зима 2018,Geno Studio,ТВ Сериал,18+,ТВ Сериал,12
11,Черный кот,Комедия;Приключения;Сёнэн;Супер сила;Фантастика,7.4,284.0,Осень 2005,Gonzo,ТВ Сериал,16+,ТВ Сериал,23
12,У Коми проблемы с общением,Комедия;Повседневность;Сёнэн;Школа,8.4,13919.0,Осень 2021,Oriental Light and Magic,ТВ Сериал,16+,ТВ Сериал,12
13,Непутёвый ученик в школе магии: Воспоминания,Сверхъестественное;Фантастика,8.9,1867.0,,8bit,Спешл,16+,Спешл,1
14,Подземелье Токио,Приключения;Романтика;Сёнэн;Супер сила;Фантастика;Экшен,7.2,163.0,Весна 2002,Studio Pierrot,ТВ Сериал,12+,ТВ Сериал,26
15,Нет игры — нет жизни,Игры;Комедия;Сверхъестественное;Фэнтези;Этти,8.9,18543.0,Весна 2014,Madhouse Studios,ТВ Сериал,18+,ТВ Сериал,12
16,Баскетбольный клуб!,Комедия;Спорт;Школа;Этти,6.7,295.0,Лето 2011,Barnum Studio,ТВ Сериал,16+,ТВ Сериал,12
17,Психопаспорт 3,Детектив;Полиция;Психологическое;Фантастика;Экшен,8.0,1648.0,Осень 2019,Production I.G,ТВ Сериал,18+,ТВ Сериал,8
18,Мэри и ведьмин цветок,Магия;Приключения;Фэнтези,8.6,1913.0,,Studio Ponoc,Фильм,16+,Фильм,1
19,Маленькие проказники!,Драма;Комедия;Повседневность;Сверхъестественное;Школа,7.9,323.0,Осень 2012,J.C. Staff,ТВ Сериал,16+,ТВ Сериал,26
20,Аоаси,Спорт;Сэйнэн,9.1,3906.0,Весна 2022,Production I.G,ТВ Сериал,16+,ТВ Сериал,24
21,Атака титанов 3. Часть 2,Военное;Детектив;Драма;Сёнэн;Супер сила;Фэнтези;Экшен,9.4,24260.0,Весна 2019,Wit Studio,ТВ Сериал,18+,ТВ Сериал,10
22,Вечера с кошкой 2,Комедия,8.9,613.0,,Studio Puyukai,ONA,6+,ONA,30
23,Малыши! Чёрный клевер,Комедия;Магия;Сёнэн;Фэнтези,6.7,389.0,,DLE Inc.,ONA,16+,ONA,8
24,Книга магии для начинающих с нуля,Приключения;Фэнтези;Экшен,8.3,4142.0,Весна 2017,White Fox,ТВ Сериал,16+,ТВ Сериал,12
